Target: 10:12:38.929339

10:5:25 2022011400
10:5:25 2022011400
10:6:0 2022011400
10:7:40 2022011400
10:9:40 2022011400
10:10:40 2022011400
10:11:10 2022011400
10:11:40 2022011400
10:11:55 2022011400
10:12:10 2022011400
10:12:25 2022011400
10:12:30 2022011400
10:12:35 2022011400
10:12:39 2022011400
10:12:41 2022011400
10:12:45 2022011400
10:12:50 2022011400
10:12:55 2022011400
10:13:10 2022011400
10:13:25 2022011400
10:13:40 2022011400
10:14:10 2022011400
10:14:40 2022011400
10:15:40 2022011400
10:17:40 2022011400
10:19:20 2022011400
10:21:0 2022011400
10:22:40 2022011400



Target: 10:27:19.176658

10:22:40 2022011400
10:22:40 2022011400
10:22:40 2022011400
10:22:40 2022011400
10:24:21 2022011400
10:25:21 2022011400
10:25:51 2022011400
10:26:21 2022011400
10:26:36 2022011400
10:26:51 2022011400
10:27:6 2022011400
10:27:11 2022011400
10:27:16 2022011400
10:27:20 2022011400
10:27:22 2022011400
10:27:26 2022011400
10:27:31 2022011400
10:27:36 2022011400
10:27:51 2022011400
10:28:6 2022011400
10:28:21 2022011400
10:28:51 2022011400
10:29:21 2022011400
10:30:21 2022011400
10:32:21 2022011400
10:34:1 2022011400
10:35:41 2022011400
10:37:21 2022011400



Target: 14:45:39.893863

14:35:41 2022011401
14:37:21 2022011401
14:39:1 2022011401
14:40:41 2022011401
14:42:41 2022011402
14:43:41 2022011402
14:44:11 2022011402
14:44:41 2022011401
14:44:56 2022011402
14:45:11 2022011402
14:45:26 2022011402
14:45:31 2022011402
14:45:36 2022011402
14:45:40 2022011402
14:45:42 2022011402
14:45:46 2022011402
14:45:51 2022011402
14:45:56 2022011402
14:46:11 2022011402
14:46:26 2022011402
14:46:41 2022011402
14:47:11 2022011402
14:47:41 2022011402
14:48:41 2022011402
14:50:41 2022011402
14:52:21 2022011402
14:54:1 2022011402
14:55:41 2022011402



Target: 22:13:30.902226

