Target: 15:15:15.072953

15:5:17 2022012801
15:6:57 2022012801
15:8:37 2022012801
15:10:17 2022012801
15:12:17 2022012801
15:13:17 2022012801
15:13:47 2022012801
15:14:17 2022012801
15:14:32 2022012801
15:14:47 2022012801
15:15:2 2022012801
15:15:7 2022012801
15:15:12 2022012801
15:15:16 2022012801
15:15:18 2022012801
15:15:22 2022012801
15:15:27 2022012801
15:15:32 2022012801
15:15:47 2022012801
15:16:2 2022012801
15:16:17 2022012801
15:16:47 2022012801
15:17:17 2022012801
15:18:17 2022012801
15:20:17 2022012801
15:21:57 2022012801
15:23:37 2022012801
15:25:17 2022012801



Target: 22:45:22.030596

22:35:24 2022012900
22:37:4 2022012900
22:38:44 2022012900
22:40:24 2022012900
22:42:24 2022012900
22:43:24 2022012900
22:43:54 2022012900
22:44:24 2022012900
22:44:39 2022012900
22:44:54 2022012900
22:45:9 2022012900
22:45:14 2022012900
22:45:19 2022012900
22:45:23 2022012900
22:45:25 2022012900
22:45:29 2022012900
22:45:34 2022012900
22:45:39 2022012900
22:45:54 2022012900
22:46:9 2022012900
22:46:24 2022012900
22:46:54 2022012900
22:47:24 2022012900
22:48:24 2022012900
22:50:24 2022012900
22:52:4 2022012900
22:53:44 2022012900
22:55:24 2022012900



Target: 22:45:22.030596

22:35:24 2022012901
22:37:4 2022012901
22:38:44 2022012901
22:40:24 2022012901
22:42:24 2022012901
22:43:24 2022012901
22:43:54 2022012901
22:44:24 2022012901
22:44:39 2022012901
22:44:54 2022012901
22:45:9 2022012901
22:45:14 2022012901
22:45:19 2022012901
22:45:23 2022012901
22:45:25 2022012901
22:45:29 2022012901
22:45:34 2022012901
22:45:39 2022012901
22:45:54 2022012901
22:46:9 2022012901
22:46:24 2022012901
22:46:55 2022012901
22:47:24 2022012901
22:48:24 2022012901
22:50:24 2022012901
22:52:4 2022012901
22:53:44 2022012901
22:55:24 2022012901



Target: 22:45:22.030596

22:35:24 2022013100
22:37:4 2022013100
22:38:44 2022013100
22:40:24 2022013100
22:42:24 2022013100
22:43:24 2022013100
22:43:54 2022013100
22:44:24 2022013100
22:44:39 2022013100
22:44:54 2022013100
22:45:9 2022013100
22:45:14 2022013100
22:45:19 2022013100
22:45:23 2022013100
22:45:25 2022013100
22:45:29 2022013100
22:45:34 2022013100
22:45:39 2022013100
22:45:54 2022013100
22:46:9 2022013100
22:46:24 2022013100
22:46:54 2022013100
22:47:24 2022013100
22:48:24 2022013100
22:50:24 2022013100
22:52:4 2022013100
22:53:44 2022013100
22:55:24 2022013100



Target: 22:45:22.030596

