Target: 12:31:29.0

12:26:30 2022011101
12:28:30 2022011101
12:29:30 2022011101
12:30:0 2022011101
12:30:30 2022011101
12:30:45 2022011101
12:31:0 2022011101
12:31:15 2022011101
12:31:20 2022011101
12:31:25 2022011101
12:31:29 2022011101
12:31:31 2022011101
12:31:35 2022011101
12:31:40 2022011101
12:31:45 2022011101
12:32:0 2022011101
12:32:15 2022011101
12:32:30 2022011101
12:33:0 2022011101
12:33:30 2022011101
12:34:30 2022011101
12:36:30 2022011101



Target: 12:41:12.987657

12:37:11 2022011101
12:38:14 2022011101
12:39:14 2022011101
12:39:44 2022011101
12:40:14 2022011101
12:40:29 2022011101
12:40:44 2022011101
12:40:59 2022011101
12:41:4 2022011101
12:41:9 2022011101
12:41:13 2022011101
12:41:15 2022011101
12:41:19 2022011101
12:41:24 2022011101
12:41:29 2022011101
12:41:44 2022011101
12:41:59 2022011101
12:42:14 2022011101
12:42:44 2022011101
12:43:14 2022011101
12:44:14 2022011101
12:46:14 2022011101



Target: 12:50:12.987657

12:47:28 2022011101
12:47:28 2022011101
12:48:14 2022011101
12:48:44 2022011101
Target: 19:42:29.685768

Target: 12:55:29.0

12:54:58 2022011101
12:54:58 2022011101
12:54:58 2022011101
12:54:58 2022011101
12:54:58 2022011101
12:54:58 2022011101
12:55:1 2022011101
12:55:15 2022011101
12:55:20 2022011101
12:55:25 2022011101
12:55:29 2022011101
12:55:31 2022011101
12:55:35 2022011101
12:55:40 2022011101
12:55:45 2022011101
12:56:0 2022011101
12:56:15 2022011101
12:56:30 2022011101
12:57:0 2022011101
12:57:30 2022011101
12:58:30 2022011101
13:0:30 2022011101



Target: 19:42:29.685768

