SERIALS,/test/edit_jan_14_CogentCom,/test/edit_jan_14_verisign_j,/test/edit_jan_14_RIPE,/test/edit_jan_14_ICANN,/test/edit_jan_14_NASA,/test/edit_jan_14_Netnod,/test/edit_jan_14_USDD,/test/edit_jan_14_ISC,/test/edit_jan_14_Army,/test/edit_jan_14_UM,/test/edit_jan_14_verisign_a,/test/edit_jan_14_USC,/test/edit_jan_14_WIDE
2022011500,22:21:01.258068,22:21:01.197197,22:21:01.175315,22:23:01.950733,22:28:02.979349,22:21:01.287792,22:21:01.363655,22:21:31.220965,22:21:01.291485,22:21:31.221257,22:21:01.175135,22:21:01.476162,22:20:51.234525
2022011501,11:00:22.207830,11:00:22.128913,11:00:22.114277,11:00:22.121354,11:12:25.384895,11:00:22.219565,11:00:22.263996,11:00:52.171716,11:00:22.738962,11:00:22.110102,11:00:22.129851,11:00:22.386270,11:00:22.604652
2022011600,22:14:54.932211,22:14:54.921811,22:14:54.904568,22:17:26.162732,22:24:58.933993,22:14:54.934567,22:14:55.091012,22:15:25.894598,22:14:54.940690,22:15:25.894923,22:14:54.918800,22:14:55.361142,22:14:57.427524
2022011601,10:27:51.224671,10:27:51.229137,10:27:51.202735,10:30:21.490105,10:38:24.164230,10:27:51.290591,10:27:52.805068,10:28:21.270052,10:27:51.312444,10:27:51.199639,10:27:51.230216,10:27:51.638540,10:27:50.462428
2022011700,22:11:14.348589,22:11:14.338813,22:11:14.326490,22:13:44.611910,22:24:17.984319,22:11:14.340453,22:11:44.513059,22:11:44.373854,22:11:14.325513,22:11:14.321877,22:11:14.336896,22:11:14.568064,22:11:03.676853
2022011701,10:29:04.893934,10:29:04.887474,10:29:04.870607,10:31:05.121145,10:34:38.011911,10:29:04.900144,10:29:04.910550,10:30:04.988960,10:29:04.902229,10:29:04.870406,10:29:04.880881,10:29:04.921390,10:29:01.981044
2022011800,22:29:43.002780,22:30:12.962464,22:30:12.955437,22:32:15.942067,22:39:16.765712,22:30:15.076001,22:29:42.899930,22:30:43.883441,22:29:43.130303,22:30:12.951448,22:30:12.968268,22:30:00.808190,22:29:49.466258
2022011801,12:24:25.969638,12:24:25.957625,12:24:25.946926,12:26:56.253790,12:27:56.354430,12:24:25.965780,12:24:25.972067,12:25:56.103550,12:24:25.967104,12:24:56.000243,12:24:25.961655,12:24:32.943861,12:24:51.919191
2022011802,15:15:15.043941,15:15:15.028137,15:15:15.030553,15:17:15.289023,15:30:52.932703,15:15:15.098529,15:15:15.219290,15:15:45.092130,15:15:15.072953,15:15:15.025972,15:15:15.027013,15:15:04.347748,15:15:18.903247
2022011900,22:45:22.023728,22:45:21.997289,22:45:21.994573,22:47:52.272788,22:54:24.075172,22:45:22.042682,22:45:22.021918,22:45:52.039478,22:45:22.030596,22:45:52.039705,22:45:22.005780,22:45:25.920656,22:45:20.366631
2022011901,13:07:00.567616,13:07:30.620927,13:07:00.564185,13:09:30.888583,13:10:00.913637,13:07:00.614313,13:07:00.744691,13:08:00.656386,13:07:00.726266,13:07:30.613287,13:07:30.629571,13:07:01.015455,13:07:01.613112
2022012000,22:38:31.940661,22:38:31.946542,22:38:31.920286,22:40:32.170647,22:57:40.034164,22:38:31.945506,22:38:31.988667,22:39:01.959004,22:38:31.972305,22:38:31.917711,22:38:31.943084,22:38:32.471196,22:38:36.855168
2022012001,12:46:16.950783,12:46:16.945193,12:46:16.932897,12:48:17.162134,12:56:50.015817,12:46:16.935773,12:46:16.980075,12:46:46.992098,12:46:16.972967,12:46:16.929034,12:46:16.932048,12:46:17.016754,12:46:06.752215
2022012100,22:35:09.318870,22:35:09.326134,22:35:09.315267,22:37:39.715132,22:44:41.309099,22:35:14.890348,22:35:09.445135,22:35:39.361625,22:35:09.385466,22:35:39.361814,22:35:09.327564,22:35:09.587023,22:34:53.417338
2022012101,15:25:57.475505,15:25:57.409276,15:25:57.404012,15:28:27.949325,15:31:28.867623,15:25:57.479091,15:25:57.607268,15:26:27.454085,15:25:57.554480,15:25:57.399947,15:25:57.430753,15:25:57.808074,15:25:52.055092
,,
Spread by Serial,,
Name,./test/edit_jan_14_WIDE.txt,./test/edit_jan_14_verisign_a.txt,./test/edit_jan_14_RIPE.txt,./test/edit_jan_14_verisign_j.txt,./test/edit_jan_14_CogentCom.txt,./test/edit_jan_14_Netnod.txt,./test/edit_jan_14_Army.txt,./test/edit_jan_14_USDD.txt,./test/edit_jan_14_USC.txt,./test/edit_jan_14_ISC.txt,./test/edit_jan_14_UM.txt,./test/edit_jan_14_ICANN.txt,./test/edit_jan_14_NASA.txt
Time,22:20:51.234525,22:21:1.175135,22:21:1.175315,22:21:1.197197,22:21:1.258068,22:21:1.287792,22:21:1.291485,22:21:1.363655,22:21:1.476162,22:21:31.220965,22:21:31.221257,22:23:1.950733,22:28:2.979349
Delta,0,9.940609999990556,9.940789999993285,9.9626719999942,10.023542999988422,10.053266999995685,10.056959999987157,10.129129999986617,10.241636999999173,39.98643999999331,39.9867319999903,130.716207999998,431.74482399999397
,,
Name,./test/edit_jan_14_UM.txt,./test/edit_jan_14_RIPE.txt,./test/edit_jan_14_ICANN.txt,./test/edit_jan_14_verisign_j.txt,./test/edit_jan_14_verisign_a.txt,./test/edit_jan_14_CogentCom.txt,./test/edit_jan_14_Netnod.txt,./test/edit_jan_14_USDD.txt,./test/edit_jan_14_USC.txt,./test/edit_jan_14_WIDE.txt,./test/edit_jan_14_Army.txt,./test/edit_jan_14_ISC.txt,./test/edit_jan_14_NASA.txt
Time,11:0:22.110102,11:0:22.114277,11:0:22.121354,11:0:22.128913,11:0:22.129851,11:0:22.20783,11:0:22.219565,11:0:22.263996,11:0:22.38627,11:0:22.604652,11:0:22.738962,11:0:52.171716,11:12:25.384895
Delta,0,0.004175000001851004,0.011252000003878493,0.01881100000173319,0.019748999999137595,0.09772800000064308,0.10946300000068732,0.1538940000027651,0.27616800000396324,0.49455000000307336,0.6288600000043516,30.06161399999837,723.2747930000041
,,
Name,./test/edit_jan_14_RIPE.txt,./test/edit_jan_14_verisign_a.txt,./test/edit_jan_14_verisign_j.txt,./test/edit_jan_14_CogentCom.txt,./test/edit_jan_14_Netnod.txt,./test/edit_jan_14_Army.txt,./test/edit_jan_14_USDD.txt,./test/edit_jan_14_USC.txt,./test/edit_jan_14_WIDE.txt,./test/edit_jan_14_ISC.txt,./test/edit_jan_14_UM.txt,./test/edit_jan_14_ICANN.txt,./test/edit_jan_14_NASA.txt
Time,22:14:54.904568,22:14:54.9188,22:14:54.921811,22:14:54.932211,22:14:54.934567,22:14:54.94069,22:14:55.091012,22:14:55.361142,22:14:57.427524,22:15:25.894598,22:15:25.894923,22:17:26.162732,22:24:58.933993
